                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.14413,                 0.9188,                0.11279,                0.13174,                0.90031,                0.99851,                      1,                  0.995,                0.99141,                0.99851,                      1,                  0.995,                0.83824,                0.21106,                0.77758,                0.10777,                0.17507,                0.48503,              0.0016555,              0.0016555,              0.0016555
                     89,                 0.1422,                0.89261,                0.11127,                0.12624,                0.91052,                0.99815,                      1,                  0.995,                0.99288,                0.99815,                      1,                  0.995,                0.83948,                0.21899,                0.63559,                0.10668,                0.16447,                0.49826,              0.0016515,              0.0016515,              0.0016515
                     90,                0.13985,                0.83169,                0.11009,                 0.1276,                0.89915,                0.99749,                      1,                  0.995,                0.99241,                0.99749,                      1,                  0.995,                0.85741,                0.19294,                0.58841,                0.10744,                0.19386,                0.46375,              0.0016476,              0.0016476,              0.0016476
                     91,                0.14227,                0.80402,                 0.1121,                0.12769,                0.90325,                0.99847,                      1,                  0.995,                0.99385,                0.99847,                      1,                  0.995,                 0.8357,                0.20331,                0.73872,                0.11618,                0.16951,                0.46854,              0.0016436,              0.0016436,              0.0016436
                     92,                0.15022,                0.95755,                0.11441,                0.13319,                0.89928,                0.99846,                      1,                  0.995,                0.99279,                0.99846,                      1,                  0.995,                0.89856,                0.23833,                0.57925,                0.10809,                0.17829,                 0.5135,              0.0016396,              0.0016396,              0.0016396
                     93,                0.14631,                0.93561,                0.11576,                0.13249,                0.89672,                0.99849,                      1,                  0.995,                0.99299,                0.99849,                      1,                  0.995,                0.84215,                0.20267,                0.82633,                  0.128,                 0.1772,                0.47729,              0.0016357,              0.0016357,              0.0016357
                     94,                0.14342,                0.89173,                0.11425,                0.12738,                 0.9028,                0.99745,                      1,                  0.995,                0.99194,                0.99745,                      1,                  0.995,                0.86317,                0.19701,                0.60577,                0.11653,                0.18961,                0.46427,              0.0016317,              0.0016317,              0.0016317
                     95,                0.14866,                0.80537,                0.10932,                0.12907,                0.90044,                0.99843,                      1,                  0.995,                  0.995,                0.99843,                      1,                  0.995,                0.89463,                0.18185,                0.56376,                0.11227,                0.17128,                0.45017,              0.0016278,              0.0016278,              0.0016278
                     96,                0.13951,                 0.8236,                0.11011,                0.13084,                0.89505,                 0.9984,                      1,                  0.995,                  0.995,                 0.9984,                      1,                  0.995,                0.86452,                0.21638,                0.60092,                0.10311,                0.19841,                0.47229,              0.0016238,              0.0016238,              0.0016238
                     97,                0.14391,                 0.7436,                0.10864,                0.13067,                0.90511,                 0.9983,                      1,                  0.995,                  0.995,                 0.9983,                      1,                  0.995,                0.89797,                0.19557,                0.50327,                0.11044,                0.20012,                0.47398,              0.0016198,              0.0016198,              0.0016198
                     98,                 0.1484,                0.79745,                 0.1081,                0.12755,                 0.9074,                0.97055,                      1,                  0.995,                0.99199,                0.97055,                      1,                  0.995,                0.85398,                 0.2111,                0.57501,                0.11221,                 0.2404,                0.48505,              0.0016159,              0.0016159,              0.0016159
